timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,prometheus_replica,service,value
2021-02-26 23:56:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1817538920448
2021-02-26 23:58:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1819728216064
2021-02-27 00:01:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1819977777152
2021-02-27 00:03:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1821135798272
2021-02-27 00:06:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1821074587648
2021-02-27 00:08:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1820134604800
2021-02-27 00:11:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1820251979776
2021-02-27 00:13:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1820335734784
2021-02-27 00:16:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1820850847744
2021-02-27 00:18:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1820773974016
2021-02-27 00:21:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1820968812544
2021-02-27 00:23:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1821824843776
2021-02-27 00:26:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1822602690560
2021-02-27 00:28:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1822454710272
2021-02-27 00:31:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1822519263232
2021-02-27 00:33:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1824414105600
2021-02-27 00:36:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1823504400384
2021-02-27 00:38:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1824276414464
2021-02-27 00:41:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1824672907264
2021-02-27 00:43:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1824833208320
2021-02-27 00:46:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1825439744000
2021-02-27 00:48:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1825416871936
2021-02-27 00:51:23.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1825735507968
2021-02-27 00:53:53.144999936+00:00,ceph_cluster_total_used_bytes,http-metrics,10.131.2.68:9283,rook-ceph-mgr,openshift-storage,rook-ceph-mgr-a-6666f945b4-tmw68,openshift-monitoring/k8s,prometheus-k8s-0,rook-ceph-mgr,1826843197440
